"temperature
(°C degrees)","pressure
(hpa)","humidity
(%)","wind_speed
(km/h)","wind_direction
(degrees from North)",solarradiation (W/m2),uv index,"rainfall
(mm)","total_rainfall
(mm)"
32.4,1003.0,65,1.51994,265,756.53,7,0.0,688.5939999999999,27-06-2019,10:00
33.8,1002.4,56,3.08458,299,809.87,7,0.0,688.5939999999999,27-06-2019,11:00
34.6,1002.0,54,2.1905,304,789.43,7,0.0,688.5939999999999,27-06-2019,12:00
35.5,1000.7,51,2.81636,129,610.33,5,0.0,688.5939999999999,27-06-2019,13:00
34.3,999.7,60,2.4140200000000003,135,481.88,4,0.0,688.5939999999999,27-06-2019,14:00
33.5,999.3,61,2.50343,123,444.57,4,0.0,688.5939999999999,27-06-2019,15:00
33.1,999.0,66,3.3081,124,253.24,2,0.0,688.5939999999999,27-06-2019,16:01
31.1,998.6,79,0.8940799999999999,104,111.44,1,0.0,688.5939999999999,27-06-2019,17:00
30.2,999.3,84,1.92228,110,24.22,0,0.0,688.5939999999999,27-06-2019,18:00
30.0,999.7,84,3.21869,150,0.0,0,0.0,688.5939999999999,27-06-2019,19:01
30.2,1000.7,83,3.3081,186,0.0,0,0.0,688.5939999999999,27-06-2019,20:02
30.3,1001.7,80,1.51994,216,0.0,0,0.0,688.5939999999999,27-06-2019,21:01
30.2,1002.4,76,4.51511,163,0.0,0,0.0,688.5939999999999,27-06-2019,22:01
29.3,1003.0,82,1.1176,234,0.0,0,0.0,688.5939999999999,27-06-2019,23:01
28.9,1002.4,84,0.98349,226,0.0,0,0.0,688.5939999999999,28-06-2019,00:00
28.3,1002.0,87,1.51994,216,0.0,0,0.0,688.5939999999999,28-06-2019,01:00
28.2,1001.7,86,1.6987599999999998,201,0.0,0,0.0,688.5939999999999,28-06-2019,02:02
28.5,1001.7,83,0.80467,205,0.0,0,0.0,688.5939999999999,28-06-2019,03:01
29.2,1001.4,69,2.4140200000000003,274,0.0,0,0.0,688.5939999999999,28-06-2019,04:01
29.4,1001.4,58,1.60935,238,0.0,0,0.0,688.5939999999999,28-06-2019,05:00
28.9,1002.0,64,0.98349,227,2.08,0,0.0,688.5939999999999,28-06-2019,06:00
28.2,1002.7,77,0.31293000000000004,200,58.48,0,0.0,688.5939999999999,28-06-2019,07:01
29.4,1003.4,71,1.2070100000000001,233,215.07,2,0.0,688.5939999999999,28-06-2019,08:02
31.5,1003.7,59,1.2964200000000001,250,521.4,5,0.0,688.5939999999999,28-06-2019,09:01
33.1,1003.4,52,4.11278,214,665.02,6,0.0,688.5939999999999,28-06-2019,10:00
34.3,1003.0,49,0.80467,117,714.81,6,0.0,688.5939999999999,28-06-2019,11:00
34.9,1002.4,45,2.99517,242,683.24,6,0.0,688.5939999999999,28-06-2019,12:00
35.0,1000.7,47,1.6987599999999998,219,514.42,5,0.0,688.5939999999999,28-06-2019,13:00
36.7,999.3,40,2.81636,230,681.9,6,0.0,688.5939999999999,28-06-2019,14:00
38.2,998.3,34,4.51511,242,556.14,5,0.0,688.5939999999999,28-06-2019,15:00
38.2,998.0,34,4.51511,231,416.8,4,0.0,688.5939999999999,28-06-2019,16:00
35.2,998.3,53,3.21869,161,127.47,1,0.0,688.5939999999999,28-06-2019,17:01
31.2,999.3,77,2.10109,134,46.36,0,0.0,688.5939999999999,28-06-2019,18:00
30.5,1000.0,78,2.01168,169,0.0,0,0.0,688.5939999999999,28-06-2019,19:00
30.3,1001.0,80,3.3081,172,0.0,0,0.0,688.5939999999999,28-06-2019,20:00
31.0,1001.7,73,1.2964200000000001,190,0.0,0,0.0,688.5939999999999,28-06-2019,21:00
30.6,1002.0,69,4.381,202,0.0,0,0.0,688.5939999999999,28-06-2019,22:00
29.8,1002.4,72,2.90577,203,0.0,0,0.0,688.5939999999999,28-06-2019,23:00
29.5,1002.4,72,1.6987599999999998,205,0.0,0,0.0,688.5939999999999,29-06-2019,00:00
28.8,1001.7,74,2.90577,233,0.0,0,0.0,688.5939999999999,29-06-2019,01:00
28.3,1001.7,74,1.6987599999999998,215,0.0,0,0.0,688.5939999999999,29-06-2019,02:00
28.3,1001.4,70,0.80467,253,0.0,0,0.0,688.5939999999999,29-06-2019,03:00
27.7,1001.0,72,0.98349,220,0.0,0,0.0,688.5939999999999,29-06-2019,04:02
27.6,1001.4,69,1.1176,239,0.0,0,0.0,688.5939999999999,29-06-2019,05:00
27.6,1002.0,68,0.58115,219,5.99,0,0.0,688.5939999999999,29-06-2019,06:00
27.7,1002.7,71,1.60935,244,94.07,0,0.0,688.5939999999999,29-06-2019,07:00
29.3,1003.4,66,1.6987599999999998,257,212.13,2,0.0,688.5939999999999,29-06-2019,08:00
31.0,1003.4,59,3.21869,256,332.63,3,0.0,688.5939999999999,29-06-2019,09:00
32.9,1003.0,51,3.08458,229,605.56,5,0.0,688.5939999999999,29-06-2019,10:00
34.0,1002.4,51,1.1176,195,614.62,5,0.0,688.5939999999999,29-06-2019,11:00
34.4,1001.7,47,0.40234000000000003,226,447.26,4,0.0,688.5939999999999,29-06-2019,12:00
35.9,1000.0,44,1.51994,218,706.61,6,0.0,688.5939999999999,29-06-2019,13:00
37.8,999.3,38,3.62103,216,755.18,7,0.0,688.5939999999999,29-06-2019,14:00
38.3,998.0,35,2.10109,194,562.13,5,0.0,688.5939999999999,29-06-2019,15:00
38.2,998.3,35,2.5928400000000003,170,292.75,2,0.0,688.5939999999999,29-06-2019,16:00
37.6,998.0,35,2.4140200000000003,208,208.22,2,0.0,688.5939999999999,29-06-2019,17:00
32.0,999.0,73,3.08458,150,37.68,0,0.0,688.5939999999999,29-06-2019,18:00
30.8,1000.0,76,1.38583,199,0.0,0,0.0,688.5939999999999,29-06-2019,19:00
30.6,1001.4,76,0.71527,206,0.0,0,0.0,688.5939999999999,29-06-2019,20:02
30.2,1001.7,77,1.51994,182,0.0,0,0.0,688.5939999999999,29-06-2019,21:00
31.1,1002.0,66,3.21869,168,0.0,0,0.0,688.5939999999999,29-06-2019,22:00
30.3,1002.4,70,3.62103,198,0.0,0,0.0,688.5939999999999,29-06-2019,23:00
30.0,1002.0,71,0.98349,174,0.0,0,0.0,688.5939999999999,30-06-2019,00:00
29.2,1001.0,74,0.98349,201,0.0,0,0.0,688.5939999999999,30-06-2019,01:00
29.3,1000.7,68,1.51994,203,0.0,0,0.0,688.5939999999999,30-06-2019,02:03
28.9,1000.3,69,1.7881599999999997,222,0.0,0,0.0,688.5939999999999,30-06-2019,03:00
28.0,1000.3,71,1.2964200000000001,216,0.0,0,0.0,688.5939999999999,30-06-2019,04:00
28.5,1000.7,68,1.60935,219,0.0,0,0.0,688.5939999999999,30-06-2019,05:01
27.6,1001.7,71,1.60935,249,9.91,0,0.0,688.5939999999999,30-06-2019,06:01
28.4,1002.0,69,1.2964200000000001,239,108.39,1,0.0,688.5939999999999,30-06-2019,07:00
30.9,1002.4,60,2.4140200000000003,234,327.49,3,0.0,688.5939999999999,30-06-2019,08:02
31.9,1002.7,57,2.1905,232,519.68,5,0.0,688.5939999999999,30-06-2019,09:00
32.8,1002.7,53,3.62103,259,678.84,6,0.0,688.5939999999999,30-06-2019,10:01
