Date and Time,TA in,TA out,RH in,RH out,intensity_in,Intensity_out,TWl-1 in,TWl-1 out,TWl-2 in,TWl-2 out,TRf in,TRf out,TG in,TG out,TW in,TW out,V in,iDampA,iDampW,Clo ,Wl-1Facing,Wl-2Facing
06/19/19 02:00:00 PM,34.15,36.2,56.748,51.361,177.4,,33.94,,,,,,,,,,,,,,,
06/19/19 03:00:00 PM,34.229,35.931,59.662,54.714,51.2,,34.124,,,,,,,,,,,,,,,
06/19/19 04:00:00 PM,34.36,35.877,62.15,59.147,35.5,,34.308,,,,,,,,,,,,,,,
06/19/19 05:00:00 PM,34.413,34.466,67.657,70.072,27.6,,34.44,,,,,,,,,,,,,,,
06/19/19 06:00:00 PM,34.281,34.334,68.129,68.354,122.2,,34.44,,,,,,,,,,,,,,,
06/19/19 07:00:00 PM,34.387,33.73,66.909,68.526,11.8,,34.598,,,,,,,,,,,,,,,
06/19/19 08:00:00 PM,34.308,33.574,63.714,63.876,19.7,,34.545,,,,,,,,,,,,,,,
06/19/19 09:00:00 PM,34.36,33.027,63.471,67.51,11.8,,34.519,,,,,,,,,,,,,,,
06/19/19 10:00:00 PM,34.44,32.742,63.233,66.442,11.8,,34.466,,,,,,,,,,,,,,,
06/19/19 11:00:00 PM,34.308,32.536,59.96,63.144,11.8,,34.387,,,,,,,,,,,,,,,
06/20/19 12:00:00 AM,34.15,32.458,60.538,64.689,11.8,,34.255,,,,,,,,,,,,,,,
06/20/19 01:00:00 AM,33.992,32.047,61.272,66.909,11.8,,34.124,,,,,,,,,,,,,,,
06/20/19 02:00:00 AM,33.914,31.816,61.827,67.731,11.8,,33.966,,,,,,,,,,,,,,,
06/20/19 03:00:00 AM,33.757,31.663,61.929,67.55,11.8,,33.835,,,,,,,,,,,,,,,
06/20/19 04:00:00 AM,33.574,31.459,60.796,64.988,11.8,,33.678,,,,,,,,,,,,,,,
06/20/19 05:00:00 AM,33.469,31.255,59.863,64.552,11.8,,33.521,,,,,,,,,,,,,,,
06/20/19 06:00:00 AM,33.131,31.128,57.207,59.599,74.9,,33.365,,,,,,,,,,,,,,,
06/20/19 07:00:00 AM,32.898,31.408,55.222,56.7,11.8,,33.131,,,,,,,,,,,,,,,
06/20/19 08:00:00 AM,32.846,31.74,56.239,58.018,19.7,,32.949,,,,,,,,,,,,,,,
06/20/19 09:00:00 AM,33.105,32.742,57.935,54.686,27.6,,32.949,,,,,,,,,,,,,,,
06/20/19 10:00:00 AM,33.391,33.6,52.713,49.683,43.4,,33.105,,,,,,,,,,,,,,,
06/20/19 11:00:00 AM,33.678,35.075,51.616,45.779,67,,33.261,,,,,,,,,,,,,,,
06/20/19 12:00:00 PM,33.887,35.743,51.481,43.489,153.7,,33.469,,,,,,,,,,,,,,,
06/20/19 01:00:00 PM,34.36,37.151,48.96,39.695,59.1,,33.835,,,,,,,,,,,,,,,
06/20/19 02:00:00 PM,34.757,37.728,47.363,38.426,43.4,,34.176,,,,,,,,,,,,,,,
06/20/19 03:00:00 PM,34.995,38.532,46.665,36.827,43.4,,34.492,,,,,,,,,,,,,,,
06/20/19 04:00:00 PM,35.102,38.84,46.512,35.651,51.2,,34.757,,,,,,,,,,,,,,,
06/20/19 05:00:00 PM,35.182,37.535,55.094,48.731,27.6,,34.969,,,,,,,,,,,,,,,
06/20/19 06:00:00 PM,35.235,36.146,56.713,53.737,106.4,,35.155,,,,,,,,,,,,,,,
06/20/19 07:00:00 PM,35.582,36.335,58.079,56.485,90.7,,35.502,,,,,,,,,,,,,,,
06/20/19 08:00:00 PM,35.582,35.716,60.632,60.303,11.8,,35.582,,,,,,,,,,,,,,,
06/20/19 09:00:00 PM,35.475,34.889,62.485,64.78,11.8,,35.582,,,,,,,,,,,,,,,
06/20/19 10:00:00 PM,35.448,34.73,63.396,66.127,11.8,,35.502,,,,,,,,,,,,,,,
06/20/19 11:00:00 PM,35.448,34.097,59.498,60.403,11.8,,35.422,,,,,,,,,,,,,,,
06/21/19 12:00:00 AM,35.235,33.783,58.508,60.987,11.8,,35.262,,,,,,,,,,,,,,,
06/21/19 01:00:00 AM,35.208,33.469,57.672,60.433,11.8,,35.182,,,,,,,,,,,,,,,
06/21/19 02:00:00 AM,35.022,32.949,56.81,60.163,11.8,,35.049,,,,,,,,,,,,,,,
06/21/19 03:00:00 AM,34.783,32.355,54.586,57.633,11.8,,34.836,,,,,,,,,,,,,,,
06/21/19 04:00:00 AM,34.572,32.047,53.586,57.747,11.8,,34.651,,,,,,,,,,,,,,,
06/21/19 05:00:00 AM,34.308,31.561,54.132,59.602,11.8,,34.413,,,,,,,,,,,,,,,
06/21/19 06:00:00 AM,33.992,31.204,53.765,58.728,11.8,,34.15,,,,,,,,,,,,,,,
06/21/19 07:00:00 AM,33.548,31.51,54.735,56.333,19.7,,33.757,,,,,,,,,,,,,,,
06/21/19 08:00:00 AM,33.391,31.765,53.133,55.381,35.5,,33.521,,,,,,,,,,,,,,,
06/21/19 09:00:00 AM,33.417,32.562,51.549,51.046,35.5,,33.417,,,,,,,,,,,,,,,
06/21/19 10:00:00 AM,33.6,33.209,50.27,48.652,43.4,,33.417,,,,,,,,,,,,,,,
06/21/19 11:00:00 AM,33.757,33.966,48.72,45.317,43.4,,33.495,,,,,,,,,,,,,,,
06/21/19 12:00:00 PM,33.861,34.598,47.814,43.127,59.1,,33.574,,,,,,,,,,,,,,,
06/21/19 01:00:00 PM,33.992,35.288,47.501,41.359,43.4,,33.704,,,,,,,,,,,,,,,
06/21/19 02:00:00 PM,34.097,35.235,47.382,41.588,27.6,,33.835,,,,,,,,,,,,,,,
